StockCode,Description,ABC_Category,Stock_Risk,Avg_Daily_Demand,Safety_Stock,Reorder_Point,EOQ,Days_Coverage,Avg_UnitPrice,Est_Order_Cost
DOT,DOTCOM POSTAGE,A — Critical,🟢 LOW RISK,3.2086167800453516,16.0,38.0,46.0,14.4,218.9781696113074,10073.0
21212,PACK OF 72 RETRO SPOT CAKE CASES,B — Important,🟡 MEDIUM RISK,159.73737373737373,833.0,1952.0,5739.0,35.9,0.7080572147123546,4063.54
22178,VICTORIAN GLASS HANGING T-LIGHT,B — Important,🟡 MEDIUM RISK,71.57321428571429,463.0,964.0,2580.0,36.1,1.5693047256925585,4048.81
84946,ANTIQUE SILVER TEA GLASS ETCHED,B — Important,🟡 MEDIUM RISK,68.08163265306122,322.0,799.0,2547.0,37.4,1.5324958030218243,3903.27
21232,STRAWBERRY CERAMIC TRINKET BOX,B — Important,🟡 MEDIUM RISK,67.01410934744268,341.0,810.0,2526.0,37.7,1.5333333333333332,3873.2
21181,PLEASE ONE PERSON  METAL SIGN,B — Important,🟡 MEDIUM RISK,59.883777239709445,359.0,778.0,1922.0,32.1,2.366498905908096,4548.41
21929,JUMBO BAG PINK VINTAGE PAISLEY,B — Important,🟡 MEDIUM RISK,48.96367112810707,320.0,663.0,1690.0,34.5,2.5029736358062538,4230.03
22470,HEART OF WICKER LARGE,B — Important,🟡 MEDIUM RISK,42.016548463356976,404.0,698.0,1382.0,32.9,3.2125426278836513,4439.73
22189,CREAM HEART CARD HOLDER,B — Important,🟡 MEDIUM RISK,33.932914046121596,548.0,785.0,1057.0,31.2,4.4335582822085895,4686.27
21733,RED HANGING HEART T-LIGHT HOLDER,B — Important,🟡 MEDIUM RISK,33.86319845857418,271.0,508.0,1264.0,37.3,3.09675404350251,3914.3
20914,SET/5 RED SPOTTY LID GLASS BOWLS,B — Important,🟡 MEDIUM RISK,32.92768959435626,234.0,464.0,1221.0,37.1,3.225493707647628,3938.33
22090,PAPER BUNTING RETRO SPOTS,B — Important,🟡 MEDIUM RISK,30.69485294117647,198.0,413.0,1104.0,36.0,3.674023255813954,4056.12
22111,SCOTTIE DOG HOT WATER BOTTLE,B — Important,🟡 MEDIUM RISK,24.01965601965602,176.0,345.0,782.0,32.6,5.734759698899826,4484.58
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,B — Important,🟡 MEDIUM RISK,20.054820415879018,114.0,255.0,724.0,36.1,5.579728958630528,4039.72
22469,HEART OF WICKER SMALL,C — Monitor,🟢 LOW RISK,66.92565947242207,500.0,968.0,2255.0,33.7,1.9215671981776765,4333.13
21731,RED TOADSTOOL LED NIGHT LIGHT,C — Monitor,🟢 LOW RISK,55.2772466539197,416.0,803.0,1899.0,34.4,2.237496782496782,4249.01
22457,NATURAL SLATE HEART CHALKBOARD ,C — Monitor,🟢 LOW RISK,33.13146551724138,186.0,418.0,1174.0,35.4,3.5118406993686255,4122.9
15056BL,EDWARDIAN PARASOL BLACK,C — Monitor,🟢 LOW RISK,22.2576112412178,271.0,427.0,721.0,32.4,6.25234752589183,4507.94
48194,DOORMAT HEARTS,C — Monitor,🟢 LOW RISK,14.688212927756654,196.0,299.0,500.0,34.0,8.588780487804879,4294.39
